source_file,theta_cmd_deg,direction_sign,esc_us,t_s,position_m,velocity_mps,acceleration_mps2,theta_rad,thrust_N,rail_force_N,friction_residual_N,velocity_sign,dynamic_fit_N,spatial_residual_N
2026_05_29_friction_sweep_log_set01_05.csv,-22.590816,-1,1850,6.33999999999986,0.276159381827608,0.0133822302023706,-0.0119588565269951,0.385888,3.2085,1.20762160071774,1.21304613803839,1,0.894501103766348,0.31854503427204
2026_05_29_friction_sweep_log_set01_05.csv,-22.590816,-1,1850,6.35999999999986,0.276421685408515,0.0129362457785057,-0.0130378511008922,0.385888,3.2085,1.20762160071774,1.21353556997711,1,0.89338746595341,0.320148104023698
2026_05_29_friction_sweep_log_set01_05.csv,-22.590816,-1,1850,6.37999999999986,0.276699418611828,0.0128607161583349,0.00881178901991667,0.385888,3.2085,1.20762160071774,1.20362457321831,1,0.893198866001219,0.31042570721709
2026_05_29_friction_sweep_log_set01_05.csv,-22.590816,-1,1850,6.39999999999986,0.276946292570328,0.0132887173393023,0.0111046524893873,0.385888,3.2085,1.20762160071774,1.20258453034856,1,0.894267599063635,0.308316931284922
2026_05_29_friction_sweep_log_set01_05.csv,-22.590816,-1,1850,6.41999999999986,0.277208596151235,0.0133049022579104,0.00125882700287995,0.385888,3.2085,1.20762160071774,1.20705059678924,1,0.894308013339105,0.312742583450132
2026_05_29_friction_sweep_log_set01_05.csv,-22.590816,-1,1850,6.43999999999986,0.277440040487329,0.0133390704194175,-0.00719329715910572,0.385888,3.2085,1.20762160071774,1.21088448030911,1,0.894393332365099,0.316491147944014
2026_05_29_friction_sweep_log_set01_05.csv,-22.590816,-1,1850,6.45999999999986,0.277671484823423,0.0130171703715462,-0.0214899752629126,0.385888,3.2085,1.20762160071774,1.217369453497,1,0.893589537330759,0.323779916166241
2026_05_29_friction_sweep_log_set01_05.csv,-22.590816,-1,1850,6.47999999999986,0.278088084628393,0.012479471408901,-0.0300095365856844,0.385888,3.2085,1.20762160071774,1.22123392651301,1,0.892246885290157,0.328987041222852
2026_05_29_friction_sweep_log_set01_05.csv,-22.590816,-1,1850,6.49999999999986,0.278242380852456,0.0118167889081189,-0.0394732181605381,0.385888,3.2085,1.20762160071774,1.22552665247536,1,0.890592145233436,0.334934507241927
2026_05_29_friction_sweep_log_set01_05.csv,-22.590816,-1,1850,6.51999999999986,0.278489254810956,0.0109005426824795,-0.0504879544353819,0.385888,3.2085,1.20762160071774,1.23052293684963,1,0.888304248194363,0.342218688655269
2026_05_29_friction_sweep_log_set01_05.csv,-22.590816,-1,1850,6.67999999999986,0.279908780072334,0.0100229604290669,0.0056647215127689,0.385888,3.2085,1.20762160071774,1.20505208303955,1,0.886112896368903,0.318939186670648
2026_05_29_friction_sweep_log_set01_08.csv,39.260652,1,1550,0.499999999999989,-0.00359510202066335,-0.0225707681609825,-0.157285938194565,-0.67063599724809,1.96199753424543,-1.21935080118513,-1.14800589962008,-1,-1.17814294585408,0.0301370462340025
2026_05_29_friction_sweep_log_set01_08.csv,39.260652,1,1550,0.519999999999989,-0.00398084258082036,-0.0255559864820113,-0.133615494730384,-0.670635998787574,1.9630147379121,-1.21998297973244,-1.15937499132274,-1,-1.18516896852434,0.0257939772016025
2026_05_29_friction_sweep_log_set01_08.csv,39.260652,1,1550,0.539999999999988,-0.00459802747707158,-0.0279153879501978,-0.108731182370603,-0.670635999465833,1.96380213343455,-1.22047233478697,-1.17115187046367,-1,-1.19072206596012,0.0195701954964549
