bootstrap_index,mean_thrust_N,std_thrust_N,min_sampled_thrust_N,max_sampled_thrust_N,mean_voltage_V,std_voltage_V,sampled_unit_ids
357,3.07222617916667,0.0996525099966862,2.933002725,3.238860475,11.1518458333333,0.179457167881829,train_seed2001_baseline_pre;train_seed2002_baseline_pre;train_seed2001_baseline_post;train_seed2002_baseline_pre;train_seed2002_baseline_pre;train_seed2002_baseline_post
358,3.05247935416667,0.115122899432483,2.933002725,3.238860475,11.1132708333333,0.209569394483466,train_seed2002_baseline_pre;train_seed2002_baseline_post;train_seed2002_baseline_post;train_seed2002_baseline_pre;train_seed2001_baseline_pre;train_seed2001_baseline_post
359,3.04199239166667,0.128729490649523,2.933002725,3.238860475,11.0893083333333,0.23450768466442,train_seed2001_baseline_post;train_seed2001_baseline_pre;train_seed2002_baseline_post;train_seed2002_baseline_post;train_seed2002_baseline_post;train_seed2001_baseline_post
360,3.02515672083333,0.132631505958382,2.9102753,3.238860475,11.0505791666667,0.253241420593409,train_seed2002_baseline_post;train_seed2001_baseline_post;train_seed2001_baseline_pre;validation_seed2003_baseline_pre;train_seed2002_baseline_pre;validation_seed2003_baseline_pre
361,3.10892760416667,0.123721258796822,2.9102753,3.238860475,11.2084583333333,0.233651058560983,train_seed2001_baseline_post;train_seed2001_baseline_pre;train_seed2002_baseline_pre;validation_seed2003_baseline_pre;train_seed2001_baseline_pre;train_seed2001_baseline_post
362,3.0196847625,0.124143720225463,2.9102753,3.238860475,11.048025,0.233248071267481,train_seed2002_baseline_pre;train_seed2002_baseline_post;validation_seed2003_baseline_pre;train_seed2001_baseline_pre;train_seed2002_baseline_post;train_seed2002_baseline_pre
363,3.0579513125,0.122482870398808,2.9102753,3.238860475,11.115825,0.230750793064728,validation_seed2003_baseline_pre;train_seed2001_baseline_post;train_seed2002_baseline_post;train_seed2001_baseline_post;train_seed2001_baseline_pre;train_seed2002_baseline_pre
364,2.977901475,0.0809308481136784,2.9102753,3.10704285,10.9280666666667,0.207557994104461,train_seed2001_baseline_post;train_seed2002_baseline_post;train_seed2002_baseline_post;validation_seed2003_baseline_pre;train_seed2002_baseline_pre;validation_seed2003_baseline_post
365,2.98845529583333,0.0695410910378652,2.9102753,3.051483675,10.9939666666667,0.142450807883515,train_seed2002_baseline_post;train_seed2002_baseline_pre;validation_seed2003_baseline_pre;train_seed2002_baseline_post;train_seed2002_baseline_pre;train_seed2002_baseline_pre
366,3.08148604166667,0.0999205609580904,2.933002725,3.238860475,11.1664583333333,0.180084883226402,train_seed2001_baseline_post;train_seed2002_baseline_pre;train_seed2001_baseline_pre;train_seed2002_baseline_pre;train_seed2001_baseline_post;train_seed2002_baseline_post
367,3.028944625,0.128968298935398,2.9102753,3.238860475,11.0626375,0.241394592809161,train_seed2001_baseline_pre;train_seed2002_baseline_post;train_seed2001_baseline_post;train_seed2002_baseline_post;validation_seed2003_baseline_pre;train_seed2002_baseline_pre
368,3.01988907083333,0.0954722940114822,2.932601575,3.10704285,10.9659875,0.282057083650637,train_seed2002_baseline_post;train_seed2001_baseline_post;validation_seed2003_baseline_post;train_seed2001_baseline_post;validation_seed2003_baseline_post;train_seed2001_baseline_post
369,2.95734475833333,0.0729196912960014,2.9102753,3.051483675,10.9192166666667,0.156881645410375,train_seed2002_baseline_pre;validation_seed2003_baseline_pre;validation_seed2003_baseline_pre;validation_seed2003_baseline_pre;train_seed2002_baseline_pre;validation_seed2003_baseline_pre
370,3.04315263333333,0.112128780301975,2.932601575,3.238860475,11.0567208333333,0.270836011461118,validation_seed2003_baseline_post;train_seed2002_baseline_pre;train_seed2002_baseline_post;train_seed2001_baseline_pre;train_seed2002_baseline_pre;train_seed2002_baseline_pre
371,3.03110054583333,0.161167942547571,2.9102753,3.238860475,11.0215708333333,0.341462956415725,validation_seed2003_baseline_post;train_seed2001_baseline_pre;validation_seed2003_baseline_pre;train_seed2002_baseline_post;train_seed2002_baseline_post;train_seed2001_baseline_pre
372,3.06010723333333,0.15554501092394,2.9102753,3.238860475,11.0747583333333,0.341780177404524,train_seed2001_baseline_pre;train_seed2001_baseline_post;train_seed2001_baseline_pre;validation_seed2003_baseline_pre;validation_seed2003_baseline_post;train_seed2002_baseline_post
373,2.97796833333333,0.0808860938274664,2.9102753,3.10704285,10.9700041666667,0.156542560040927,train_seed2002_baseline_post;train_seed2002_baseline_post;train_seed2001_baseline_post;train_seed2002_baseline_pre;train_seed2002_baseline_post;validation_seed2003_baseline_pre
